cluster_id,travel_mode,place_id,user_location,commute
9ad5f116-6a5f-405b-8c35-f297d2db2c5f,driving,ChIJczc-EmuRQIYRtC5QM9Tvh_w,"grocery store",3.7
4ad3dd20-7be9-49b0-960f-d34f8d844a70,driving,ChIJtyFxqTOTQIYRGI2k46HVzwI,"grocery store",4.766666666666667
27791bf6-e4a3-4f41-a8fe-c4b8217fd02b,driving,ChIJP7qLfxyRQIYRVHVOMutJ2yM,"grocery store",6.933333333333334
60246895-0db7-4f62-b0a8-d77b2e15ef15,driving,ChIJp6SjYTyTQIYRIrgfLnt8jwA,"grocery store",5.916666666666667
f569ef39-a001-4939-9e90-e480927f382c,driving,ChIJ2XtOT_6TQIYRzIH07pdROLQ,"grocery store",1.75
bbe5cf7d-7914-4d3d-8b9c-62a132213e06,driving,ChIJ2XtOT_6TQIYRzIH07pdROLQ,"grocery store",3.383333333333333
1a8bcb9e-8466-41c4-ac85-bf044a6c12a9,driving,ChIJD2IBYwqaQIYRHyKHNJwWhiw,"grocery store",2.783333333333333
0dbb452a-8c74-4d1f-9fd4-e69e726b169c,driving,ChIJP7qLfxyRQIYRVHVOMutJ2yM,"grocery store",5.1
1e41a929-1d8c-4829-995c-67aaf35a7b81,driving,ChIJdTg1ovyQQIYRg2x2J5lp4qU,"grocery store",6.65
4a9b8a0a-62ac-442e-8d6e-4766bd364f42,driving,ChIJtyFxqTOTQIYRGI2k46HVzwI,"grocery store",4.516666666666667
c1676dbd-d090-4607-9c1b-8ea9741e4081,driving,ChIJuQxl7KaTQIYRyPirfssdfIs,"grocery store",5.683333333333334
c688c89d-28a7-4ef8-9bd2-e760778b3b09,driving,ChIJ83ktcDiSQIYRMxB7j8Vqe_0,"grocery store",6.616666666666666
54a453d4-ad1b-4c21-8f1e-5fff49c25ea5,driving,ChIJP7qLfxyRQIYRVHVOMutJ2yM,"grocery store",4.566666666666666
8340e4d9-c25d-49d9-ae19-cfea38ca06e6,driving,ChIJ83ktcDiSQIYRMxB7j8Vqe_0,"grocery store",1.75
4d846f3d-61e7-43b0-8b01-ee0eeeb44587,driving,ChIJ2bhsWk-TQIYRGbdTfO3KY00,"grocery store",1.833333333333333
72bba3c4-2539-497e-971e-1dd473d0f357,driving,ChIJuQxl7KaTQIYRyPirfssdfIs,"grocery store",4.866666666666666
9ac9edb4-cb37-4c2d-ac4b-4124d9ba43d6,driving,ChIJuQxl7KaTQIYRyPirfssdfIs,"grocery store",5.583333333333333
8ab4d31c-41b7-49a4-a53d-6111a6fca8b5,driving,ChIJ2XtOT_6TQIYRzIH07pdROLQ,"grocery store",3.616666666666667
2c1e9360-f594-4e27-9c3c-fda93ab1e903,driving,ChIJp6SjYTyTQIYRIrgfLnt8jwA,"grocery store",3.366666666666667
0fe621fa-3bb7-414e-a087-b988fc8895e5,driving,ChIJp6SjYTyTQIYRIrgfLnt8jwA,"grocery store",5.35
50685b32-32c3-4ee5-9020-58bf3eac5c9a,driving,ChIJ83ktcDiSQIYRMxB7j8Vqe_0,"grocery store",2.816666666666667
421d03cb-7369-48fe-991c-27f4ef026de9,driving,ChIJ83ktcDiSQIYRMxB7j8Vqe_0,"grocery store",4.316666666666666
34f46d23-fd7e-49d6-aebf-90d5c10ffdd5,driving,ChIJtyFxqTOTQIYRGI2k46HVzwI,"grocery store",7.4
b2a15510-a084-45fe-b2ac-e1e3d9aab3d6,driving,ChIJdTg1ovyQQIYRg2x2J5lp4qU,"grocery store",5.466666666666667
e82a7c7c-7b05-44fd-95de-91915f9da40f,driving,ChIJIZaJvrabQIYRH_oSGCNYs84,"grocery store",5.45
c2e88c51-718d-49f1-8e24-dd9e08293d3b,driving,ChIJIZaJvrabQIYRH_oSGCNYs84,"grocery store",5.966666666666667
0f98bd7e-8fab-4658-a68b-b41f6a6294f3,driving,ChIJ0-U2CbPtQIYRpP4LSGItFfk,"grocery store",9.966666666666667
909df0b9-b90f-421c-baee-4dbef9067a23,driving,ChIJP7qLfxyRQIYRVHVOMutJ2yM,"grocery store",7.15
4ebda812-0c4b-46ef-b11a-f83b9d9070a1,driving,ChIJP7qLfxyRQIYRVHVOMutJ2yM,"grocery store",6.416666666666667
9af97f32-14b7-4624-b9d0-74ae41d89e54,driving,ChIJp6SjYTyTQIYRIrgfLnt8jwA,"grocery store",4.95
ae17fcf0-a24a-439a-8e45-a3df6c39521c,driving,ChIJ83ktcDiSQIYRMxB7j8Vqe_0,"grocery store",6.833333333333333
3efc6adc-2178-41a3-8f9f-6b4f2b16d69c,driving,ChIJP7qLfxyRQIYRVHVOMutJ2yM,"grocery store",7.683333333333334
